,1,2,3,4,5,6
Alfonso,-2.26615905762,-2.0602786541,-0.196465179324,0.0490430891514,2.21647715569,-3.22298121452
Andrew,3.38991093636,-0.00970636215061,-2.50790405273,-3.83193898201,-5.22552537918,1.0124348402
Angela,-0.951891958714,-1.34333372116,0.512203037739,-0.0929633527994,-1.30387294292,-2.82240009308
Arthur,0.856666088104,2.3941013813,-1.82108998299,-0.552371203899,0.862776219845,3.50435090065
Charles,1.22993314266,-2.00520205498,-2.74172472954,-1.77921760082,-2.35839414597,0.0496367178857
Charlotte,3.03271174431,-2.813403368,-3.91203474998,-0.372623801231,1.30826723576,0.335140049458
Christine,2.8281686306,0.122900001705,-2.10504460335,-3.61339831352,-4.39672088623,1.31313574314
Christopher,2.59666657448,1.90660452843,3.42523264885,-2.08073401451,-4.13925981522,4.12527513504
Colin,2.84823799133,-2.81162548065,-4.10860729218,-0.319640487432,1.25167441368,0.327417165041
Emilio,-4.15638494492,0.388626128435,3.58932566643,3.16758608818,3.48029994965,-2.42904305458
Francesca,0.0992997735739,2.134526968,3.53548336029,-1.13564538956,-3.02541327477,-0.85022097826
Gina,-4.99206876755,0.453481733799,1.56138372421,4.88745498657,4.56089878082,-3.52616024017
James,2.24004817009,-1.54456841946,-2.81710100174,-0.202534228563,-0.573890030384,4.12353181839
Jennifer,1.75114572048,-1.70175147057,-3.24319052696,-0.652596950531,-2.22159290314,1.82200098038
Lucia,-2.01757335663,0.507182180882,2.50058031082,2.13380050659,2.46320080757,-0.275613933802
Marco,0.539633750916,-0.697181046009,2.71381568909,-0.216740936041,0.165897011757,-2.04885625839
Margaret,1.27294456959,-2.32238578796,3.53867602348,-3.91721606255,-1.79869306087,1.29193520546
Maria,-4.67555189133,5.03435564041,2.83305716515,4.4133067131,1.11274182796,-3.38411998749
Penelope,2.47355055809,4.59842920303,0.708586573601,-1.45610392094,-2.60596299171,3.5544052124
Pierro,0.403682738543,-0.211767539382,3.44748020172,-1.11685454845,-2.0324306488,-1.79453849792
Roberto,-3.7542822361,4.36977243423,3.46488857269,0.754602909088,0.317147582769,-3.07713365555
Sophia,-2.04740810394,-3.39679336548,0.0634616315365,0.080057375133,3.77397990227,-2.88307118416
Tomaso,0.61046642065,0.0682542994618,0.538186609745,2.89274525642,-0.308055460453,1.08353507519
Victoria,0.132785961032,1.73299157619,-4.48594617844,-2.71593737602,-0.193661153316,1.49053096771
